batter_1,batter_2,runs,wicket,season,not_out,grade,date,opposition,venue,match_id
Dave Ralston,Raymond Scott,118,7,1963,No,,8 Mar 1964,South Belmont,Forrest Park 3,
Alan Jones,Ray Sheridan,100,6,1981,No,,10 Feb 1982,Floreat Hellenic,Forrest Park 2,
Gary Formica,Peter Morton,60,10,1982,No,,14 Dec 1982,North Beach,Charles Riley Reserve,
Justin Fisher,Damian Thompson,61,2,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Graham Butler,Phil Greatrix,58,3,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Matthew Smith,Graham Butler,49,2,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Justin Fisher,Phil Greatrix,20,1,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Matthew Smith,Peter McSweeney,20,4,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Ian Blake,Graham Butler,19,2,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Damian Thompson,Colin Gotch,17,7,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Matthew Smith,Cameron Briscoe,17,3,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Damian Thompson,Damien Sheridan,14,6,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Matthew Smith,Shane Lee,14,6,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Damian Thompson,David Separovic,13,10,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Graham Butler,Dennis Freind,13,4,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Peter McSweeney,Damien Sheridan,12,8,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Peter McSweeney,Justin Fisher,12,9,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Damian Thompson,Stephen DenRidder,11,8,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Peter McSweeney,Gary Chivers,11,7,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Damian Thompson,Shane Ferdinadus,9,9,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Peter McSweeney,Phil Greatrix,6,5,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Graham Butler,Damian Thompson,4,5,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
