Player,Season,Grade,Games,Innings,Runs,NO,HS,Avg,Wickets,Overs,Runs Conceded,Bowl Avg,Catches,Stumpings,Notes
A B Wright,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #440, debut 2018/19"
A Bramwell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #194, debut 1968/69"
A Bristowe,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #58, debut 1944/45"
A Buivydas,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #138, debut 1958/59"
A C Cross,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #4, debut 1932/33"
A C Tharaldsen,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #353, debut 2003/04"
A Copley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #87, debut 1950/51"
A D Lee,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #399, debut 2012/13"
A D Thurlow,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #385, debut 2009/10"
A E Baker,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #263, debut 1982/83"
A F Newman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #250, debut 1977/78"
A F Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #64, debut 1945/46"
A Franklin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #30, debut 1940/41"
A Fraser,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #252, debut 1978/79"
A G Jarvis,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #146, debut 1960/61"
A Grivell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #137, debut 1958/59"
A Gyawali,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #466, debut 2023/24"
A Henshaw,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #46, debut 1942/43"
A J Alderson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #438, debut 2018/19"
A J Benton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #330, debut 1998/99"
A J Betterman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #302, debut 1991/92"
A J Donald,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #388, debut 2011/12"
A J Trenordan,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #359, debut 2004/05"
A J Wilton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #324, debut 1997/98"
A Kallos,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #321, debut 1996/97"
A L Favell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #364, debut 2004/05"
A L Stagg,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #367, debut 2004/05"
A M Baker,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #309, debut 1994/95"
A Mashei,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #207, debut 1970/71"
A N Keene,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #430, debut 2018/19"
A N Wilson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #332, debut 1999/00"
A O Ayles,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #55, debut 1943/44"
A R Bent,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #1, debut 1932/33"
A R Catchlove,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #94, debut 1950/51"
A R Marrett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #193, debut 1968/69"
A R Martin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #132, debut 1958/59"
A R McKenzie,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #239, debut 1976/77"
A Russo,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #201, debut 1969/70"
A S Foster,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #297, debut 1991/92"
A T Lubcke,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #355, debut 2003/04"
A T Mainwaring,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #372, debut 2005/06"
A Taylor,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #183, debut 1967/68"
A V Y Morris,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #155, debut 1962/63"
A W Fuss,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #24, debut 1939/40"
A W Muller,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #322, debut 1996/97"
A Watherston,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #387, debut 2009/10"
AF Smith,Prior Seasons & Adjustments,,,,,,,,471,2331.1,6036,12.82,,,
AJ Wilton,Prior Seasons & Adjustments,,,,,,,,,,,,284,88,
