Team,Record,Basis,Margin,Month,Season,Payneham score,Opponent,Opponent score
1st XI,Highest outright winning margin,By Innings Plus,Innings & 154 runs,Dec-1957,1957/58,4/304 d. & ---,Glenelg,61 & 89
1st XI,Highest outright winning margin,By Innings Plus,Innings & 126 runs,Nov-1952,1952/53,9/246 d. & ---,Clarence Park,70 & 50
1st XI,Highest outright winning margin,By Innings Plus,Innings & 122 runs,Nov-1948,1948/49,5/218 d. & ---,KOCA,52 & 44
1st XI,Highest outright winning margin,By Innings Plus,Innings & 77 runs,Jan-1948,1947/48,240 & ---,Holdens,62 & 101
1st XI,Highest outright winning margin,By Innings Plus,Innings & 39 runs,Jan-1956,1955/56,237 & ---,Clarence Park,80 & 118
1st XI,Highest outright winning margin,By Innings Plus,Innings & 35 runs,Nov-1968,1968/69,147 & ---,Richmond,43 & 69
1st XI,Highest outright winning margin,By Innings Plus,Innings & 28 runs,Jan-1960,1959/60,2/147 d. & ---,PAOC,51 & 68
1st XI,Highest outright winning margin,By Runs,217 runs,Feb-1948,1947/48,179 & 5/198 d.,KOCA,79 & 81
1st XI,Highest outright winning margin,By Runs,129 runs,Mar-2015,2014/15,196 & 3/92 d.,Brighton,38 & 121
1st XI,Highest outright winning margin,By Runs,113 runs,Mar-1941,1940/41,126 & 3/92 d.,Pulteneny O S,47 & 58
1st XI,Highest outright winning margin,By Runs,105 runs,Nov-1963,1963/64,45 & 182,Edwardstown,1/50 d. & 72
1st XI,Highest outright winning margin,By Runs,92 runs,Oct-1972,1972/73,69 & 5/114 d.,WREI,4 & 87
1st XI,Highest outright winning margin,By Runs,74 runs,Dec-1942,1942/43,135 & 1/106 d.,Collegians,78 & 89
1st XI,Highest outright winning margin,By Runs,67 runs,Feb-1960,1959/60,142 & 3/79 d.,Brighton,90 & 64
1st XI,Highest outright winning margin,By Wickets,10 wickets,Mar-1941,1940/41,171 & 0/2,Col Light Gardens,44 & 128
1st XI,Highest outright winning margin,By Wickets,10 wickets,Oct-1951,1951/52,149 & 0/19,Savings Bank,69 & 91
1st XI,Highest outright winning margin,By Wickets,10 wickets,Jan-1954,1953/54,3/118 d. & 0/30,Tubemakers,54 & 92
1st XI,Highest outright winning margin,By Wickets,10 wickets,Jan-1963,1962/63,97 & 0/1,WREI,73 & 24
1st XI,Highest outright winning margin,By Wickets,9 wickets,Jan-1966,1965/66,6/134 d. & 1/113,KOCA,124 & 118
1st XI,Highest outright winning margin,By Wickets,9 wickets,Nov-1972,1972/73,91 & 1/13,Clarence Park,42 & 61
1st XI,Highest outright winning margin,By Wickets,9 wickets,Oct-2006,2006/07,180 & 1/49,Concordia O C,191 & 34
1st XI,Highest outright losing margin,By Innings Plus,Innings & 172 runs,Feb-2019,2018/19,62 & 92,Walkerville,7/326 ---
1st XI,Highest outright losing margin,By Innings Plus,Innings & 134 runs,Dec-2016,2016/17,109 & 30,Grange,6/275d. ---
1st XI,Highest outright losing margin,By Innings Plus,Innings & 112 runs,Dec-2021,2021/22,74 & 97,Golden Grove,9/283d. ---
1st XI,Highest outright losing margin,By Innings Plus,Innings & 57 runs,Nov-1974,1974/75,67 & 71,Woodville Nth,195 ---
1st XI,Highest outright losing margin,By Innings Plus,Innings & 42 runs,Nov-2015,2015/16,60 & 98,Pooraka,200 ---
1st XI,Highest outright losing margin,By Innings Plus,Innings & 38 runs,Nov-2017,2017/18,85 & 86,Para Hills,209 ---
1st XI,Highest outright losing margin,By Innings Plus,Innings & 33 runs,Jan-1959,1958/59,136 & 87,Railways,4/256 d. ---
1st XI,Highest outright losing margin,By Runs,132 runs,Mar-1950,1949/50,79 & 76,Teachers Col.,162 & 4/125 d.
1st XI,Highest outright losing margin,By Runs,120 runs,Jan-1940,1939/40,114 & 64,Hawthorn,137 & 5/161
1st XI,Highest outright losing margin,By Runs,105 runs,Nov-1967,1967/68,79 & 68,PAOC,148 & 8/104 d.
1st XI,Highest outright losing margin,By Runs,101 runs,Feb-1975,1974/75,42 & 46,Glenelg,88 & 101
1st XI,Highest outright losing margin,By Runs,79 runs,Dec-1962,1962/63,55 & 69,Brighton,133 & 6/70 d.
1st XI,Highest outright losing margin,By Runs,54 runs,Feb-1968,1967/68,61 & 73,Clarence Park,58 & 130
1st XI,Highest outright losing margin,By Runs,38 runs,Jan-1982,1981/82,109 & 42,Edwardstown,88 & 105
1st XI,Highest outright losing margin,By Wickets,10 wickets,Jan-2016,2015/16,50 & 81,PAOC,9/115 d. & 0/18
1st XI,Highest outright losing margin,By Wickets,10 wickets,Nov-2018,2018/19,143 & 79,PAOC,7/206 d. & 0/17
1st XI,Highest outright losing margin,By Wickets,9 wickets,Oct-1962,1962/63,31 & 74,Edwardstown,5/33 d. & 1/73
1st XI,Highest outright losing margin,By Wickets,9 wickets,Feb-2022,2021/22,46 & 67,Old Concordians,97 & 1/17
1st XI,Highest outright losing margin,By Wickets,9 wickets,Jan-2021,2020/21,116 & 98,Woodville South,9/190 d. & 1/28
1st XI,Highest outright losing margin,By Wickets,9 wickets,Mar-2019,2018/19,101 & 80,Goodwood,163 & 1/21
1st XI,Highest outright losing margin,By Wickets,8 wickets,Feb-1969,1968/69,79 & 113,Edwardstown,74 & 2/120
