player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
A (Paterson) Pattison,Summer 2013/14,VCV,1,,,,,,,,,,,,,,
A (Paterson) Pattison,Summer 2013/14,One Off Games,1,,,,,,,,,,,,,,
A MacDonald,Summer 2013/14,VCV,1,,,,,,,,,,,,,,
A Nesbitt,Summer 2010/11,One Off Games,1,,,,,,,,,,,,,,
A Nesbitt,Summer 2011/12,One Off Games,1,,,,,,,,,,,,,,
Alan Dobeson,Summer 2019/20,VCV,6,6,2,34,86,2,,13,19,2,74,3,3,2,1-7
Alan Dobeson,Summer 2019/20,Peter Phyland Trophy,1,1,,,12,,,0,6,1,16,3,,,3-16
Alan Dobeson,Summer 2019/20,Border Cup,1,1,1,12,25,1,,12*,7,,24,1,1,,1-24
Alan Dobeson,Summer 2020/21,VCV,6,6,2,46,98,5,,16,21.4,,91,1,,,1-11
Alan Dobeson,Summer 2020/21,Border Cup,3,3,1,30,49,4,,21,16,4,54,2,5,3,2-16
Alan Dobeson,Summer 2021/22,VCV,7,7,2,57,154,2,,14,36,1,151,2,7,,2-18
Alan Dobeson,Summer 2021/22,Border Cup,3,2,1,11,32,1,,9,11,,63,1,4,1,1-11
Alan Dobeson,Summer 2022/23,VCV,2,1,,,5,,,0,14,2,33,3,,,3-20
Alan Dobeson,Summer 2022/23,Border Cup,1,1,,,6,,,0,7,,35,,,,0-35
Alan Dobeson,Summer 2023/24,VCV,6,6,2,42,68,4,,14,36.1,2,172,3,2,2,2-31
Alan Dobeson,Summer 2023/24,Peter Phyland Trophy,1,1,1,20,25,2,,20*,3,,19,,,,0-19
Alan Dobeson,Summer 2023/24,Border Cup,2,1,,3,8,,,3,6,,19,2,3,,2-15
Alan Dobeson,Summer 2024/25,VCV,4,4,2,33,88,3,,15,25,,133,4,4,,1-17
Alan Dobeson,Summer 2024/25,Peter Phyland Trophy,1,1,,8,15,,,8,7,1,25,3,,,3-25
Alan Dobeson,Summer 2024/25,Border Cup,2,2,1,16,26,1,,16,11,1,49,,,,0-16
Alan Dobeson,Summer 2024/25,One Off Games,1,1,,6,17,,,6,6,1,19,,1,,0-19
Alan Dobeson,Summer 2024/25,Echuca Carnival,3,2,1,11,17,1,,11,13,1,50,1,4,1,1-24
Allan Huf,Summer 2011/12,One Off Games,2,,,,,,,,,,,,,,
Allan Huf,Summer 2018/19,VCV,4,4,1,59,66,6,2,41,,,,,,,
Allan Huf,Summer 2018/19,Peter Phyland Trophy,1,1,1,5,25,,,5*,,,,,,,
Allan Huf,Summer 2018/19,Border Cup,3,3,,33,43,5,,17,7,,23,1,7,3,1-7
Allan Huf,Summer 2019/20,VCV,6,6,3,58,100,6,,15,,,,,,,
Allan Huf,Summer 2019/20,Peter Phyland Trophy,1,1,1,10,25,1,,10*,,,,,,,
Allan Huf,Summer 2019/20,Border Cup,2,2,1,27,31,4,,18,,,,,,,
Allan Huf,Summer 2020/21,VCV,5,5,2,73,96,9,,25,,,,,,,
Allan Huf,Summer 2020/21,Border Cup,3,3,,24,58,1,,12,,,,,,,
Allan Huf,Summer 2021/22,VCV,5,5,4,62,113,6,,26,,,,,,,
Allan Huf,Summer 2021/22,Border Cup,2,2,,35,37,5,,21,,,,,,,
Allan Huf,Summer 2022/23,VCV,1,1,1,19,26,1,,19*,,,,,,,
Allan Huf,Summer 2022/23,Border Cup,1,1,1,9,31,,,9*,,,,,,,
Allan Huf,Summer 2023/24,VCV,3,3,2,25,71,1,,16,,,,,,,
Allan Huf,Summer 2024/25,VCV,4,4,3,17,68,2,,8,,,,,,,
Allan Huf,Summer 2024/25,One Off Games,1,1,1,13,16,2,,13*,,,,,,,
B (Cruise) Crew,Summer 2013/14,VCV,1,,,,,,,,,,,,,,
B (Cruise) Crew,Summer 2013/14,One Off Games,1,,,,,,,,,,,,,,
B Barr,Summer 2011/12,One Off Games,1,,,,,,,,,,,,,,
B Herbertson,Summer 2010/11,One Off Games,1,,,,,,,,,,,,,,
B Herbertson,Summer 2011/12,One Off Games,1,,,,,,,,,,,,,,
Brian Kearney,Summer 2013/14,One Off Games,1,,,,,,,,,,,,,,
C Baulch,Summer 2020/21,VCV,1,,,,,,,,,,,,,,
C Ray,Summer 2010/11,One Off Games,1,,,,,,,,,,,,,,
Charles Rees,Summer 2012/13,VCV,1,,,,,,,,,,,,,,
Charles Rees,Summer 2012/13,Border Cup,3,,,,,,,,,,,,,,
Charles Rees,Summer 2012/13,One Off Games,6,,,,,,,,,,,,,,
Charles Rees,Summer 2013/14,VCV,1,,,,,,,,,,,,,,
Charles Rees,Summer 2013/14,One Off Games,1,,,,,,,,,,,,,,
Charles Rees,Summer 2015/16,Border Cup,1,,,,,,,,,,,,,,
Charles Rees,Summer 2015/16,WillowFest,1,,,,,,,,,,,,,,
Chris Healey,Summer 2011/12,One Off Games,1,,,,,,,,,,,,,,
Chris Healey,Summer 2012/13,VCV,1,,,,,,,,,,,,,,
Chris Healey,Summer 2012/13,Border Cup,1,,,,,,,,,,,,,,
Chris Healey,Summer 2012/13,One Off Games,6,,,,,,,,,,,,,,
Chris Healey,Summer 2013/14,VCV,1,,,,,,,,,,,,,,
Chris Healey,Summer 2013/14,One Off Games,1,,,,,,,,,,,,,,
Chris Healey,Summer 2015/16,WillowFest,1,,,,,,,,,,,,,,
Chris Hutchins,Summer 2015/16,Border Cup,1,,,,,,,,,,,,,,
Chris Hutchins,Summer 2015/16,WillowFest,1,,,,,,,,,,,,,,
Chris Hutchins,Summer 2016/17,VCV,4,4,3,116,110,12,2,62,15,1,66,2,,,1-17
Chris Hutchins,Summer 2016/17,Peter Phyland Trophy,1,1,,17,16,3,,17,,,,,,,
Chris Hutchins,Summer 2016/17,Border Cup,3,3,2,101,103,11,1,43,14,,43,2,,2,1-5
Chris Hutchins,Summer 2016/17,WillowFest,3,3,3,79,105,10,2,31*,14,,51,3,,,2-8
Chris Hutchins,Summer 2017/18,WillowFest,1,,,,,,,,,,,,,,
Chris Hutchins,Summer 2018/19,VCV,4,4,3,102,99,20,,42,24,2,89,4,3,1,2-19
Chris Hutchins,Summer 2018/19,Peter Phyland Trophy,1,1,,11,23,,,11,6,2,12,1,1,,2-25
Chris Hutchins,Summer 2018/19,Border Cup,3,3,1,53,59,7,,26,14,1,52,2,,,1-10
