player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
A (Paterson) Pattison,Summer 2013/14,,2,,,,,,,,,,,,,,
A MacDonald,Summer 2013/14,,1,,,,,,,,,,,,,,
A Nesbitt,Summer 2010/11,,1,,,,,,,,,,,,,,
A Nesbitt,Summer 2011/12,,1,,,,,,,,,,,,,,
Alan Dobeson,Summer 2019/20,,8,8,3,46,123,3,,13,32,3,114,7,4,2,3-16
Alan Dobeson,Summer 2020/21,,9,9,3,76,147,9,,21,37.4,4,145,3,5,3,2-16
Alan Dobeson,Summer 2021/22,,10,9,3,68,186,3,,14,47,1,214,3,11,1,2-18
Alan Dobeson,Summer 2022/23,,3,2,,,11,,,,21,2,68,3,,,3-20
Alan Dobeson,Summer 2023/24,,9,8,3,65,101,6,,20*,45.1,2,210,5,5,2,2-15
Alan Dobeson,Summer 2024/25,,11,10,4,74,163,5,,16,62,4,276,8,9,1,3-25
Allan Huf,Summer 2011/12,,2,,,,,,,,,,,,,,
Allan Huf,Summer 2018/19,,8,8,2,97,134,11,2,41,7,,23,1,7,3,1-7
Allan Huf,Summer 2019/20,,9,9,5,95,156,11,,18,,,,,,,
Allan Huf,Summer 2020/21,,8,8,2,97,154,10,,25,,,,,,,
Allan Huf,Summer 2021/22,,7,7,4,97,150,11,,26,,,,,,,
Allan Huf,Summer 2022/23,,2,2,2,28,57,1,,19*,,,,,,,
Allan Huf,Summer 2023/24,,3,3,2,25,71,1,,16,,,,,,,
Allan Huf,Summer 2024/25,,5,5,4,30,84,4,,13*,,,,,,,
B (Cruise) Crew,Summer 2013/14,,2,,,,,,,,,,,,,,
B Barr,Summer 2011/12,,1,,,,,,,,,,,,,,
B Herbertson,Summer 2010/11,,1,,,,,,,,,,,,,,
B Herbertson,Summer 2011/12,,1,,,,,,,,,,,,,,
Brian Kearney,Summer 2013/14,,1,,,,,,,,,,,,,,
C Baulch,Summer 2020/21,,1,,,,,,,,,,,,,,
C Ray,Summer 2010/11,,1,,,,,,,,,,,,,,
Charles Rees,Summer 2012/13,,10,,,,,,,,,,,,,,
Charles Rees,Summer 2013/14,,2,,,,,,,,,,,,,,
Charles Rees,Summer 2015/16,,2,,,,,,,,,,,,,,
Chris Healey,Summer 2011/12,,1,,,,,,,,,,,,,,
Chris Healey,Summer 2012/13,,8,,,,,,,,,,,,,,
Chris Healey,Summer 2013/14,,2,,,,,,,,,,,,,,
Chris Healey,Summer 2015/16,,1,,,,,,,,,,,,,,
Chris Hutchins,Summer 2015/16,,2,,,,,,,,,,,,,,
Chris Hutchins,Summer 2016/17,,11,11,8,313,334,36,5,62,43,1,160,7,,2,2-8
Chris Hutchins,Summer 2017/18,,1,,,,,,,,,,,,,,
Chris Hutchins,Summer 2018/19,,8,8,4,166,181,27,,42,44,5,153,7,4,1,2-19
Chris Hutchins,Summer 2019/20,,15,15,11,422,448,57,3,43,85.4,14,290,15,2,1,3-32
Chris Hutchins,Summer 2020/21,,9,9,6,180,249,21,1,41,35.5,5,140,2,4,2,1-2
Chris Hutchins,Summer 2021/22,,10,10,5,165,221,16,3,43,35.3,4,135,6,1,1,3-4
Chris Hutchins,Summer 2023/24,,8,7,3,133,215,16,1,36,42,6,155,10,3,1,2-10
Chris Hutchins,Summer 2024/25,,13,12,8,183,280,21,2,39,62,8,251,9,5,2,2-17
Chris Lehmann,Summer 2023/24,,9,9,4,172,177,35,,43,,,,,,,
