player_name,sheet_name,guest_club,debut,seasons,games,runs,wickets
A (Paterson) Pattison,"Pattison, A (Paterson)",,,1,2,0,0
A King,"King, A",,2019-02-24,1,1,8,0
A MacDonald,"MacDonald, A",,2013-12-08,1,1,0,0
A Nesbitt,"Nesbitt, A",,2011-02-20,2,2,0,0
Alan Dobeson,"Dobeson, Alan",,2019-10-27,6,50,329,29
Allan Huf,"Huf, Allan",,2012-03-25,8,44,469,1
Arthur McPhan,Arthur Mcphan,Ballarat,,1,1,6,1
B (Cruise) Crew,"Crew, B (Cruise)",,,1,2,0,0
B Barr,"Barr, B",,,1,1,0,0
B Herbertson,"Herbertson, B",,2011-02-20,2,2,0,0
Brian Kearney,"Kearney, Brian",,2013-11-17,1,1,0,0
C Baulch,"Baulch, C",,2020-11-15,1,1,0,0
C Ray,"Ray, C",,2011-02-20,1,1,0,0
Charles Rees,"Rees, Charles",,2012-11-11,3,14,0,0
Chris Healey,"Healey, Chris",,2012-02-07,4,12,0,0
Chris Hutchins,"Hutchins, Chris",,2016-10-01,9,77,1562,56
Chris Lehmann,"Lehmann, Chris",,2023-11-06,2,21,368,4
Chris Tote,"Tote, Chris",,2017-03-07,1,2,43,1
Colin Baulch,"Baulch, Colin",Geelong,,1,0,37,1
Colin Murdoch,"Murdoch, Colin",South East Coasters,2025-03-16,1,4,78,3
Costello John,"Costello, John",Geelong,,1,2,0,0
Craig Marrow,"Marrow, Craig",,2025-01-19,1,2,73,1
D Backwell,"Backwell, D",Geelong,2017-01-15,1,1,1,0
D Barr,"Barr, D",,2011-02-20,3,11,0,0
D Petch,"Petch, D",,2011-02-20,2,4,0,0
Darren Groves,"Groves, Darren",,2024-12-08,1,4,113,0
Daryl Hunt,"Hunt, Daryl",Ballarat,2019-09-22,1,5,64,3
David Currie,"Currie, David",,2023-02-08,1,1,17,0
David Foster,"Foster, David",Geelong,2025-02-04,1,3,16,0
David Jefferson,"Jefferson, David",Geelong,2020-11-15,3,3,2,1
David Spencer,"Spencer, David",,2023-01-22,3,21,279,8
Doug Rogerson,"Rogerson, Doug",,2015-10-05,3,9,65,0
Frank Debono,"DeBono, Frank",,2019-09-22,1,4,48,0
G James,"James, G",,2011-02-20,1,1,0,0
G O'Connell,"O'Connell, G",,,1,1,0,0
G Vaughan,"Vaughan, G",,2011-10-23,3,5,0,0
Gary Ashby,"Ashby, Gary",South East Coasters,2012-11-12,3,3,34,0
Gary Cameron,"Cameron, Gary",,2020-02-05,1,1,7,0
Gary Milich,"Milich, Gary",,2011-02-20,8,22,28,2
Gavin Huf,"Huf, Gavin",,2021-02-21,2,6,68,3
Gavin Kearney,"Kearney, Gavin",,2020-01-12,6,38,486,23
Geoff Barker,Barker Geoff,,2012-03-25,11,78,1649,69
Graeme Freshwater,"Freshwater, Graeme",,,1,0,18,1
Graeme Patterson,"Patterson, Graeme",,2012-11-15,1,1,0,0
Graham Freshwater,"Freshwater, Graham",,2017-09-30,2,5,0,0
Graham Lewis,"Lewis, Graham",Geelong,2024-01-28,1,1,3,0
Grant Humphries,"Humphries, Grant",South East Coasters,2025-02-23,1,1,11,0
Greg Lott,"Lott, Greg",Geelong,2023-12-18,1,1,39,1
Greg McAdam,"McAdam, Greg",,2013-11-17,6,17,118,0
Greg Muhovics,"Muhovics, Greg",South East Coasters,,1,1,22,0
Greg Williams,"Williams, Greg",,2025-01-12,1,1,39,1
Guy Eastwood,"Eastwood, Guy",Geelong,2023-12-18,2,3,10,1
Heaton Jarrad,"Jarrad, Heaton",,2020-02-16,6,31,152,20
Howard Templeton,"Templeton, Howard",,2013-03-06,1,1,0,0
Ian Sanderson,"Sanderson, Ian",,2012-11-11,1,3,0,0
J Catzalis,"Catzalis, J",Unknown,2017-03-06,1,1,5,0
J McGrath,"McGrath, J",,2011-02-20,1,1,0,0
J Tonkin,"Tonkin,  J",,,1,0,51,0
Jim Jenkinson,"Jenkinson, Jim",,2013-11-17,7,32,229,6
John Caulfield,"Caulfield, John",Geelong,2017-01-15,4,3,17,0
John Crawford,"Crawford, John",,2016-10-01,6,40,208,33
John Penhall,"Penhall, John",Ballarat,2021-12-05,1,1,4,1
John Porteous,"Porteous, John",Ballarat,2025-01-26,1,1,5,0
John Tonkin,"Tonkin, John",,2011-02-20,6,23,0,0
John Williams,"Williams, John",Geelong,2024-01-28,1,2,24,1
K Dowdell,"Dowdell, K",,2012-11-11,1,2,0,0
K Hann,"Hann, K",,2012-02-05,3,9,0,0
K Saunders,"Saunders, K",,,2,6,0,0
Kearney,"Kearney, ???",,2012-03-25,1,2,0,0
Ken Baker,"Baker, Ken",,2012-12-02,9,66,1182,27
Kevin Smith,"Smith, Kevin",South East Coasters,2025-02-23,1,1,2,1
Leo McMahon,"McMahon, Leo",,2012-03-25,2,2,0,0
Les Payne,"Payne, Les",,2012-02-05,12,53,580,7
Lyndon Oakley,"Oakley, Lyndon",,2012-02-05,11,59,445,25
M Archer,"Archer, M",,,1,1,0,0
M Kot,"Kot, M",,2011-10-23,1,1,0,0
Mark Ross,"Ross, Mark",,2019-02-17,7,55,732,48
Michael Hayes,"Hayes, Michael",,2012-02-05,2,7,0,0
N King,"King, N",,2013-03-04,1,3,0,0
N Stratman,"Stratman, N",,2017-09-30,1,1,0,0
N Tonkin,"Tonkin, N",,,3,9,0,0
Neil Blizzard,"Blizzard, Neil",,2024-10-27,1,16,294,1
P Dickson,"Dickson, P",,2020-11-08,1,1,0,0
P Oakley,"Oakley, P",,2012-02-06,2,5,0,0
P Robinson,"Robinson, P",,2019-02-24,1,1,12,0
Peter Franklin,"Franklin, Peter",Geelong,2015-10-05,3,14,210,11
Peter LeLievre,"LeLievre, Peter",Ballarat,2019-09-22,5,20,484,2
Peter Phyland,"Phyland, Peter",,2012-11-11,2,10,0,0
Peter Skrabl,"Skrabl, Peter",,2020-02-16,1,1,17,0
Peter Sleep,"Sleep, Peter",,2012-11-12,1,1,0,0
Peter Willoughby,"Willoughby, Peter",Ballarat,2025-02-05,1,2,0,0
Phil Clapham,"Clapham, Phil",,2020-11-08,5,31,513,11
Phil Dickson,"Dickson, Phil",Geelong,,1,0,1,0
Phil Forsyth,"Forsyth, Phil",,2012-03-26,9,42,361,34
Phil Hickleton,"Hickleton, Phil",Sunbury / Macedon Ranges,2023-01-22,2,4,42,2
R Bartlett,"Bartlett, R",,2011-02-20,2,2,0,0
R Cleasby,"Cleasby, R",,2011-02-20,2,3,0,0
R Ford,"Ford, R",,2013-03-04,1,3,0,0
R Lee,"Lee, R",Unknown,2016-11-20,1,1,6,0
R Wilson,"Wilson, R",,2012-02-07,1,1,0,0
Ray Hastings,"Hastings, Ray",,2024-01-28,2,16,146,13
Ray Robinson,"Robinson, Ray",,2017-03-06,9,56,316,0
Richard Kot,"Kot, Richard",,2022-01-30,3,12,271,7
Robert Logan,Logan Robert,,2021-11-28,1,2,14,0
Robert Scott,"Scott, Robert",,,6,28,370,18
Robey Joyce,"Joyce, Robey",,2013-11-17,10,54,210,20
Robin Rogers,"Rogers, Robin",Vic Country,2025-02-05,1,1,0,0
Roger Beavis,"Beavis, Roger",,2011-10-23,3,16,0,0
Roger Thompson,"Thompson, Roger",,2012-03-26,7,17,37,7
Ron Jennings,"Jennings, Ron",Ballarat,2024-02-25,1,1,27,1
Ron Mcleod,"Mcleod, Ron",,,1,1,0,0
S Attrill,"Attrill, S",Unknown,2019-09-22,1,1,0,0
Shane Noonan,"Noonan, Shane",Vic Country,2023-02-08,1,1,1,1
Stephen Bell,"Bell, Stephen",South East Coasters,2013-11-17,3,5,44,0
Steve Sambrook,"Sambrook, Steve",Geelong,2024-02-25,2,1,14,0
T Hollis,"Hollis, T",,2011-10-23,2,3,0,0
T Wilson,"Wilson, T",,2011-10-23,1,1,0,0
Terry Croton,"Croton, Terry",,2024-10-20,1,4,24,1
Terry Flynn,"Flynn, Terry",Ballarat,2025-01-26,1,1,12,0
Terry Pullen,"Pullen, Terry",Geelong,2023-12-18,1,1,1,0
Terry Willoughby,"Willoughby, Terry",Ballarat,,1,0,1,0
Tim Spark,"Spark, Tim",,?/?/2018,2,4,40,1
Tom Gorman,"Gorman, Tom",Geelong,2023-12-18,2,1,1,0
Tony Bunworth,"Bunworth, Tony",,2011-10-23,2,2,0,0
Tony Legoe,"Legoe, Tony",South East Coasters,2025-03-16,1,4,16,1
W Bevan,"Bevan, W",,2012-11-11,1,2,0,0
W Gason,"Gason, W",,2025-01-12,1,1,1,0
W Legoe,"Legoe, W",,2024-11-10,1,1,23,0
Wayne Bell,"Bell, Wayne",,2013-11-17,1,1,0,0
Wayne Hinchcliffe,"Hinchcliffe, Wayne",Ballarat,2023-02-05,3,10,80,16
